CRASH_DATE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,LANE_CNT,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,INTERSECTION_RELATED_I,NOT_RIGHT_OF_WAY_I,HIT_AND_RUN_I,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_DIRECTION,DOORING_I,WORK_ZONE_I,NUM_UNITS,INJURIES_TOTAL,CRASH_HOUR,LATITUDE,LONGITUDE,NUM_PASSENGERS,LIC_PLATE_STATE,VEHICLE_DEFECT,VEHICLE_TYPE,VEHICLE_USE,TRAVEL_DIRECTION,MANEUVER,OCCUPANT_CNT,EXCEED_SPEED_LIMIT_I,FIRST_CONTACT_POINT,PERSON_TYPE,CITY,SEX,AGE,SAFETY_EQUIPMENT,AIRBAG_DEPLOYED,EJECTION,DRIVER_ACTION,DRIVER_VISION,PHYSICAL_CONDITION,PEDPEDAL_ACTION,PEDPEDAL_VISIBILITY,BAC_RESULT VALUE,CELL_PHONE_USE,INJURY,FATALITIES,Location,VEHICLE_AGE,AGE_binned,VEHICLE_AGE_binned,PEDPEDAL_ACTION_NEW,PHYSICAL_CONDITION_NEW,LOCATION_NEW,LOCATION_ADDRESS
2019-07-17 10:15:00,30,SIGN,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDESTRIAN,NOT_DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,N,N,N,DISTRACTION - FROM OUTSIDE VEHICLE,IMPROPER LANE USAGE,S,N,N,2,1,Morning,41.880481435,-87.725516915,0,IL,UNABLE TO DETERMINE,OTHER,OTHER,N,OTHER,0,N,OTHER,PEDESTRIAN,CHICAGO,M,22.0,DID NOT USE SAFETY EQUIP,UNABLE TO DETERMINE,UNABLE TO DETERMINE,NONE,NOT OBSCURED,NORMAL,CROSSING - NO CONTROLS (NOT AT INTERSECTION),NO CONTRASTING CLOTHING,0,UNABLE TO DETERMINE,INJURED,NOT FATAL,Downtown,6.0,between 19 and 30,5 to 10,CROSSING,NORMAL,"41.880481435, -87.725516915","MP Mall, 3913-3979, West Madison Street, West Garfield Park, Chicago, Cook County, Illinois, 60624, United States of America"
2020-09-01 16:51:00,30,NO_SIGN,NO CONTROLS,RAIN,DAYLIGHT,REAR END,NOT_DIVIDED,2,STRAIGHT AND LEVEL,WET,NO DEFECTS,N,N,N,UNABLE TO DETERMINE,UNABLE TO DETERMINE,W,N,N,2,2,Afternoon,41.721501814,-87.632023421,0,IL,NONE,PASSENGER,PERSONAL,E,STRAIGHT AHEAD,1,N,OTHER,DRIVER,CHICAGO,F,38.0,UNABLE TO DETERMINE,DEPLOYED,NONE,OTHER,OTHER,NORMAL,UNABLE TO DETERMINE,UNABLE TO DETERMINE,0,UNABLE TO DETERMINE,INJURED,NOT FATAL,Not Downtown,17.0,between 31 and 40,Over 15,UNABLE TO DETERMINE,NORMAL,"41.721501814, -87.632023421","321-323, West 95th Street, Roseland, Chicago, Cook County, Illinois, 60617, United States of America"
2018-10-19 12:10:00,40,SIGN,FUNCTIONING PROPERLY,CLOUDY/OVERCAST,DAYLIGHT,REAR END,NOT_DIVIDED,4,STRAIGHT AND LEVEL,WET,NO DEFECTS,N,N,N,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,S,N,N,4,2,Afternoon,41.877851967,-87.617565098,0,IL,NONE,SPORT UTILITY VEHICLE (SUV),PERSONAL,S,OTHER,1,N,FRONT,DRIVER,CHICAGO,M,36.0,USED SAFETY EQUIP,NOT DEPLOYED,NONE,OTHER,NOT OBSCURED,NORMAL,UNABLE TO DETERMINE,UNABLE TO DETERMINE,0,UNABLE TO DETERMINE,INJURED,NOT FATAL,Downtown,10.0,between 31 and 40,5 to 10,UNABLE TO DETERMINE,NORMAL,"41.877851967, -87.617565098","Loop, South Loop, Chicago, Cook County, Illinois, United States of America"
2018-02-16 18:17:00,30,SIGN,FUNCTIONING PROPERLY,CLEAR,DARKNESS,ANGLE,NOT_DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,N,N,N,FAILING TO YIELD RIGHT-OF-WAY,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,W,N,N,2,1,Night,41.95876564,-87.767246615,2,IL,NONE,PASSENGER,PERSONAL,N,STRAIGHT AHEAD,3,N,FRONT,DRIVER,CHICAGO,F,31.0,USED SAFETY EQUIP,NOT DEPLOYED,NONE,NONE,NOT OBSCURED,NORMAL,UNABLE TO DETERMINE,UNABLE TO DETERMINE,0,UNABLE TO DETERMINE,INJURED,NOT FATAL,Not Downtown,14.0,between 31 and 40,11 to 15,UNABLE TO DETERMINE,NORMAL,"41.95876564, -87.767246615","4300, North Central Avenue, Portage Park, Chicago, Jefferson Township, Cook County, Illinois, 60630, United States of America"
2017-11-10 09:53:00,30,SIGN,FUNCTIONING PROPERLY,SNOW,DAYLIGHT,PEDESTRIAN,NOT_DIVIDED,4,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS,Y,N,N,FAILING TO YIELD RIGHT-OF-WAY,WEATHER,N,N,N,2,1,Morning,41.896527922,-87.643075742,0,IL,UNABLE TO DETERMINE,OTHER,OTHER,N,OTHER,0,N,OTHER,PEDESTRIAN,CHICAGO,M,79.0,DID NOT USE SAFETY EQUIP,UNABLE TO DETERMINE,UNABLE TO DETERMINE,NONE,OTHER,NORMAL,CROSSING - WITH SIGNAL,NO CONTRASTING CLOTHING,0,UNABLE TO DETERMINE,INJURED,NOT FATAL,Downtown,4.0,Over 60,Below 5,CROSSING,NORMAL,"41.896527922, -87.643075742","600 West, 600, West Chicago Avenue, Chicago River North, Chicago, Cook County, Illinois, 60610, United States of America"
2017-10-12 18:25:00,30,SIGN,NO CONTROLS,CLEAR,DARKNESS,PEDALCYCLIST,DIVIDED,4,STRAIGHT AND LEVEL,DRY,CLEAR,Y,N,Y,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,S,N,N,2,1,Night,41.780008277,-87.625522512,0,IL,UNABLE TO DETERMINE,OTHER,UNKNOWN/NA,S,TURN,1,N,FRONT,DRIVER,OTHER,X,42.0,UNABLE TO DETERMINE,UNABLE TO DETERMINE,NONE,FAILED TO YIELD,OTHER,UNABLE TO DETERMINE,UNABLE TO DETERMINE,UNABLE TO DETERMINE,0,UNABLE TO DETERMINE,INJURED,NOT FATAL,Not Downtown,8.0,between 41 and 50,5 to 10,UNABLE TO DETERMINE,UNABLE TO DETERMINE,"41.780008277, -87.625522512","West 63rd Street, Chicago, Cook County, Illinois, 60636, United States of America"
2019-01-09 15:01:00,30,NO_SIGN,NO CONTROLS,CLEAR,DAYLIGHT,TURNING,NOT_DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,N,N,N,IMPROPER TURNING/NO SIGNAL,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,W,N,N,2,1,Afternoon,41.880885118,-87.721751408,1,IL,NONE,PASSENGER,PERSONAL,W,STRAIGHT AHEAD,2,N,FRONT,DRIVER,CHICAGO,F,29.0,USED SAFETY EQUIP,NOT DEPLOYED,NONE,NONE,NOT OBSCURED,NORMAL,UNABLE TO DETERMINE,UNABLE TO DETERMINE,0,UNABLE TO DETERMINE,INJURED,NOT FATAL,Downtown,12.0,between 19 and 30,11 to 15,UNABLE TO DETERMINE,NORMAL,"41.880885118, -87.721751408","3822, West Madison Street, West Garfield Park, Chicago, Cook County, Illinois, 60624, United States of America"
2018-05-02 12:50:00,30,NO_SIGN,NO CONTROLS,CLEAR,DAYLIGHT,OTHER OBJECT,DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,N,N,N,UNABLE TO DETERMINE,UNABLE TO DETERMINE,E,N,N,1,1,Afternoon,41.809781151,-87.594212812,0,IL,NONE,PASSENGER,PERSONAL,N,STRAIGHT AHEAD,1,N,FRONT,DRIVER,CHICAGO,F,83.0,USED SAFETY EQUIP,DEPLOYED,NONE,OTHER,NOT OBSCURED,NORMAL,UNABLE TO DETERMINE,UNABLE TO DETERMINE,0,UNABLE TO DETERMINE,INJURED,NOT FATAL,Not Downtown,3.0,Over 60,Below 5,UNABLE TO DETERMINE,NORMAL,"41.809781151, -87.594212812","Planet Fitness, 1301, East 47th Street, Kenwood, Chicago, Cook County, Illinois, 60615, United States of America"
2017-10-11 07:55:00,30,SIGN,NO CONTROLS,RAIN,DAYLIGHT,PEDESTRIAN,DIVIDED,1,STRAIGHT AND LEVEL,WET,NO DEFECTS,Y,N,Y,UNABLE TO DETERMINE,UNABLE TO DETERMINE,W,N,N,2,1,Early_morning,41.961296277,-87.708310668,0,IL,UNABLE TO DETERMINE,OTHER,OTHER,N,OTHER,0,N,OTHER,PEDESTRIAN,CHICAGO,F,29.0,USED SAFETY EQUIP,UNABLE TO DETERMINE,UNABLE TO DETERMINE,NONE,OTHER,NORMAL,CROSSING - WITH SIGNAL,NO CONTRASTING CLOTHING,0,UNABLE TO DETERMINE,INJURED,NOT FATAL,Not Downtown,5.0,between 19 and 30,5 to 10,CROSSING,NORMAL,"41.961296277, -87.708310668","4705-4709, North Kedzie Avenue, Albany Park, Jefferson Township, Cook County, Illinois, 60625, United States of America"
2017-10-04 15:02:00,30,SIGN,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,TURNING,NOT_DIVIDED,2,STRAIGHT AND LEVEL,DRY,CLEAR,Y,N,N,DISTRACTION - FROM INSIDE VEHICLE,UNABLE TO DETERMINE,S,N,N,2,1,Afternoon,41.743859923,-87.607575779,0,IL,UNABLE TO DETERMINE,BUS UP TO 15 PASS.,MASS TRANSIT,N,TURN,1,N,SIDE,DRIVER,CHICAGO,F,45.0,UNABLE TO DETERMINE,NOT DEPLOYED,NONE,OTHER,NOT OBSCURED,EMOTIONAL,UNABLE TO DETERMINE,UNABLE TO DETERMINE,0,UNABLE TO DETERMINE,INJURED,NOT FATAL,Not Downtown,1.0,between 41 and 50,Below 5,UNABLE TO DETERMINE,EMOTIONAL,"41.743859923, -87.607575779","700-708, East 83rd Street, Chatham, Chicago, Cook County, Illinois, 60617, United States of America"
2018-08-04 00:09:00,35,SIGN,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,DIVIDED,6,STRAIGHT AND LEVEL,DRY,NO DEFECTS,N,N,Y,IMPROPER OVERTAKING/PASSING,NOT APPLICABLE,S,N,N,3,1,Night,41.73682263,-87.58578342,0,IL,NONE,PASSENGER,PERSONAL,S,STRAIGHT AHEAD,1,N,REAR,DRIVER,CHICAGO,M,72.0,USED SAFETY EQUIP,NOT DEPLOYED,NONE,NONE,NOT OBSCURED,NORMAL,UNABLE TO DETERMINE,UNABLE TO DETERMINE,0,UNABLE TO DETERMINE,INJURED,NOT FATAL,Not Downtown,11.0,Over 60,11 to 15,UNABLE TO DETERMINE,NORMAL,"41.73682263, -87.58578342","East 87th Street, Avalon Park, Chicago, Cook County, Illinois, 60617, United States of America"
2020-04-18 19:30:00,30,NO_SIGN,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,N,N,N,PHYSICAL CONDITION OF DRIVER,NOT APPLICABLE,W,N,N,3,2,Night,41.979088312,-87.797014308,0,IL,UNABLE TO DETERMINE,SPORT UTILITY VEHICLE (SUV),PERSONAL,E,OTHER,0,N,SIDE,UNABLE TO DETERMINE,OTHER,UNABLE TO DETERMINE,36.0,UNABLE TO DETERMINE,UNABLE TO DETERMINE,UNABLE TO DETERMINE,OTHER,OTHER,UNABLE TO DETERMINE,UNABLE TO DETERMINE,UNABLE TO DETERMINE,0,UNABLE TO DETERMINE,INJURED,NOT FATAL,Not Downtown,5.0,between 31 and 40,5 to 10,UNABLE TO DETERMINE,UNABLE TO DETERMINE,"41.979088312, -87.797014308","6750, West Higgins Avenue, Norwood Park, Chicago, Jefferson Township, Cook County, Illinois, 60656, United States of America"
2018-01-03 11:00:00,30,SIGN,NO CONTROLS,SNOW,DAYLIGHT,TURNING,NOT_DIVIDED,2,STRAIGHT AND LEVEL,WET,NO DEFECTS,N,N,N,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,UNABLE TO DETERMINE,W,N,N,2,2,Morning,41.851653236,-87.705403971,1,IL,UNABLE TO DETERMINE,PICKUP,PERSONAL,E,STRAIGHT AHEAD,2,N,REAR,DRIVER,BERWYN,M,51.0,UNABLE TO DETERMINE,NOT APPLICABLE,NONE,OTHER,OTHER,NORMAL,UNABLE TO DETERMINE,UNABLE TO DETERMINE,0,UNABLE TO DETERMINE,INJURED,NOT FATAL,Downtown,12.0,between 51 and 60,11 to 15,UNABLE TO DETERMINE,NORMAL,"41.851653236, -87.705403971","Dunkin' Donuts, 3201, West Cermak Road, South Lawndale, Chicago, Cook County, Illinois, 60623, United States of America"
2019-02-14 13:15:00,30,NO_SIGN,OTHER,CLEAR,DAYLIGHT,PEDESTRIAN,NOT_DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,N,N,N,UNABLE TO DETERMINE,NOT APPLICABLE,E,N,N,2,1,Afternoon,41.885638274,-87.627858695,0,IL,NONE,PASSENGER,PERSONAL,S,BACKING,1,N,OTHER,DRIVER,CRETE,M,18.0,USED SAFETY EQUIP,NOT DEPLOYED,NONE,FAILED TO YIELD,OTHER,NORMAL,UNABLE TO DETERMINE,UNABLE TO DETERMINE,0,UNABLE TO DETERMINE,INJURED,NOT FATAL,Downtown,11.0,below 18,11 to 15,UNABLE TO DETERMINE,NORMAL,"41.885638274, -87.627858695","Page Brothers Building, 177-191, North State Street, Loop, Chicago, Cook County, Illinois, 60602, United States of America"
2019-07-19 01:52:00,30,SIGN,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,Y,N,N,DRIVING ON WRONG SIDE/WRONG WAY,CELL PHONE USE OTHER THAN TEXTING,W,N,N,3,6,Night,41.794670385,-87.630547476,1,IL,NONE,PASSENGER,PERSONAL,W,OTHER,2,N,OTHER,DRIVER,CHICAGO,M,28.0,DID NOT USE SAFETY EQUIP,NOT APPLICABLE,NONE,NONE,NOT OBSCURED,NORMAL,UNABLE TO DETERMINE,UNABLE TO DETERMINE,0,UNABLE TO DETERMINE,INJURED,NOT FATAL,Not Downtown,7.0,between 19 and 30,5 to 10,UNABLE TO DETERMINE,NORMAL,"41.794670385, -87.630547476","Checkers, 5451, South Wentworth Avenue, Fuller Park, Chicago, Cook County, Illinois, 60609, United States of America"
2019-06-19 12:42:00,30,SIGN,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDESTRIAN,NOT_DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,Y,N,N,UNABLE TO DETERMINE,UNABLE TO DETERMINE,S,N,N,2,1,Afternoon,41.875893941,-87.701224965,0,IL,UNABLE TO DETERMINE,OTHER,OTHER,N,OTHER,0,N,OTHER,PEDESTRIAN,CHICAGO,F,66.0,DID NOT USE SAFETY EQUIP,UNABLE TO DETERMINE,UNABLE TO DETERMINE,OTHER,OTHER,NORMAL,CROSSING - WITH SIGNAL,CONTRASTING CLOTHING,0,UNABLE TO DETERMINE,INJURED,NOT FATAL,Downtown,5.0,Over 60,5 to 10,CROSSING,NORMAL,"41.875893941, -87.701224965","3016, West Van Buren Street, East Garfield Park, Illinois Medical District, Chicago, Cook County, Illinois, 60612, United States of America"
2019-06-28 21:45:00,30,SIGN,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,NOT_DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,Y,N,N,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,S,N,N,2,1,Night,41.876064776,-87.686415631,0,IL,NONE,PASSENGER,PERSONAL,N,TURN,1,N,REAR,DRIVER,CHICAGO,M,37.0,USED SAFETY EQUIP,DEPLOYED,NONE,IMPROPER TURN,OTHER,NORMAL,UNABLE TO DETERMINE,UNABLE TO DETERMINE,0,UNABLE TO DETERMINE,INJURED,NOT FATAL,Downtown,3.0,between 31 and 40,Below 5,UNABLE TO DETERMINE,NORMAL,"41.876064776, -87.686415631","2412, West Van Buren Street, Near West Side, Illinois Medical District, Chicago, Cook County, Illinois, 60612, United States of America"
